date;pib_rs;frgabt_rs_ibge;frgkg_rs_ibge;boiabt_rs_ibge;boikg_rs_ibge;vacabt_rs_ibge;vackg_rs_ibge;novabt_rs_ibge;novkg_rs_ibge;suiabt_rs_ibge;suikg_rs_ibge;monit_pibagro_fgv;monit_pibind_fgv;monit_pib_fgv;monit_pibserv_fgv;pib_br_agro;pib_br_ind;pib_br_serv;pib_br_tot;ipca_ibge;igpm_fgv;igpm_1dec_fgv;igpm_2dec_fgv;igpdi_fgv;igp10_fgv;inpc_ibge
mar/02;99,42987734;150647695;254209990;48601;11926737;68744;13764074;113346;26007113;1152982;91194293;109,999;100,311;96,151;117,56;143,03;98,08;113,53;110,63;1,487163232;0,510594194;0,479773722;0,48054009;0,480749376;0,581084655;2,011893565
jun/02;103,823852;149199301;249345335;73747;18002466;78181;16068510;91129;21494574;1249255;101561222;109,075;101,589;97,191;114,84;144,8;107,66;116,37;115,41;1,435929056;2,956125579;0,911666694;2,24500132;3,589399198;2,42686402;1,385312733
set/02;94,50733649;146751872;243592919;69276;16545649;74182;15387149;86170;19062815;1335784;105992999;109,176;143,544;94,721;112,919;143,46;112,93;120,69;119,5;2,581038692;6,81880576;2,989054587;5,093876408;7,216081232;6,661924864;2,866655087
dez/02;102,2389342;153289670;243742673;76083;18002410;97299;19748156;105081;23702625;1288134;98732067;113,627;183,95;102,338;112,839;102,56;114,21;122,97;119,24;6,561322802;13,35813499;6,628481569;10,25944399;13,27385233;13,47671865;7,848580021
mar/03;100,6728303;152309767;244624252;86059;20907430;100537;20650468;86022;19303352;1249319;97094092;115,918;172,67;107,36;114,817;165,01;98,15;115,61;113,58;5,132745498;6,264469797;2,886050134;4,741668837;5,51749175;6,420711604;5,390397049
jun/03;111,2083566;145963947;241091578;80559;19352374;108955;21970181;97604;22184977;1191992;93845734;115,742;129,829;109,511;117,017;164,26;105,52;117,4;116,31;1,433538125;-0,34896808;0,226778676;-0,086220107;-0,960907771;0,662812537;2,322231803
set/03;92,9195602;154939247;252547111;74582;17654552;111318;22469002;105390;23158869;1215105;95957322;114,576;131,912;106,119;117,268;145,57;115,09;121,26;120,25;1,324897304;1,137913167;0,518827;0,867595448;1,47315698;0,423512437;1,04187659
dez/03;103,3207556;158856487;258809954;93853;22011592;131873;26924055;120774;26793118;1130228;89768644;119,656;167,31;111,778;119,292;103,35;114,59;123,99;119,94;1,154267127;1,487180358;0,872473298;1,214862468;1,527644672;1,719640788;1,305554792
mar/04;108,0795419;155951442;258602056;90052;21540224;149536;30392065;103987;23392631;1148331;88742815;120,14;146,559;113,486;121,095;165,03;105,39;119,45;117,98;1,851096789;2,723881614;1,072971742;2,053387106;2,836204352;2,612160244;1,800209451
jun/04;106,9447362;154373279;267642248;88793;21316270;165584;33396169;96319;21557926;1170483;90090345;118,707;116,514;113,534;121,696;167,55;114,92;123,94;123,65;1,598148398;3,950845744;1,608402414;3,213713953;3,950675591;3,9917032;1,3156982
set/04;99,58108873;151219487;251701708;106067;25016153;187103;39655478;113805;25355482;1240471;95758666;122,958;98,732;123,594;124,535;152,2;125,25;127,59;128,14;1,941579721;3,253549276;1,103692724;2,35747698;2,956765683;3,43801655;1,405747205
dez/04;106,8876643;187418455;287762028;113317;27178426;229595;48546104;164173;37668892;1161383;88664857;120,144;98,76;116,198;123,805;104,95;123,38;131,24;127,39;2,00278011;1,962175665;1,002522023;1,355260536;1,881388599;1,840085699;1,476000433
mar/05;105,0781396;156161630;258466584;95572;22828214;186244;37543978;121680;27492785;1168623;94415099;114,625;110,177;102,85;120,581;170,28;109,82;124,87;122,92;1,790579874;1,547044945;0,78188144;1,053369388;1,728560068;1,406201723;1,749899308
jun/05;103,4360292;162098756;277609341;95610;22750603;194033;38883338;116216;26087930;1280133;109796734;111,3;104,238;99,184;116,868;171,54;120,94;129,18;129,18;1,343990147;0,195300325;0,337879603;0,346490804;-0,192439262;0,755203;1,504591993
set/05;97,98955666;169730080;285546874;97752;23141951;205892;42415814;137412;30406442;1313659;116018682;112,485;167,443;95,18;115,024;149,15;123,86;132,1;130,85;0,771896488;-1,512554713;-1,007157814;-1,274785615;-1,315297108;-1,571948276;0,180045
dez/05;103,4370911;169274261;289987175;140925;33893422;243989;51233316;173427;39163838;1360531;114455523;116,944;223,36;100,091;114,941;105,37;123,68;134,46;130,13;1,66881985;0,99229976;0,47064624;0,801008085;1,032752455;0,892179008;1,527624528
mar/06;104,8354775;175867420;291012089;116655;27980748;205412;42153670;135512;30567896;1334245;109011813;116,972;207,443;102,119;116,104;171,13;113,45;130,62;128,18;1,436729402;0,697952788;0,339732892;0,709108082;0,206599944;0,981124572;0,88252336
jun/06;110,1516131;130712838;238016807;118065;28084725;194929;39460943;139909;31705113;1532379;131032451;116,66;144,11;108,56;117,804;170,97;118,69;134,21;132,13;0,099558559;0,70809203;0,048500562;0,39739448;1,072756509;0,275993662;0,179980891
set/06;101,4377585;163360760;284936270;128288;30467091;196446;40459866;159368;35966784;1728626;154345095;115,309;141,221;105,878;118,298;165,72;127,01;137,86;136,72;0,450599199;0,842262931;0,540965571;0,581113706;0,822090673;1,023432791;0,250121965
dez/06;110,163902;166243367;270116955;129862;31107018;179993;37774317;175170;40556383;1706882;140554434;119,985;171,423;112,983;119,828;116,18;128,74;140,46;136,37;1,12409991;1,54744028;1,082971428;1,27457704;1,648217004;1,707933067;1,477087197
mar/07;111,5767663;179662042;291922821;113659;27133095;145287;30451371;144315;33332792;1637080;141564035;119,422;146,784;114,049;120,521;177,74;118,14;138,04;134,84;1,255199163;1,11397259;0,621169669;0,811941373;0,882443176;1,05364215;1,356071055
jun/07;117,288325;186785413;300734464;93995;22409727;109381;22725650;116983;27256315;1718582;151371649;121,341;118,497;118,225;123,436;171,99;129,07;142,25;140,77;0,81218596;0,340224042;-0,040780058;0,229922;0,561004582;0,420567243;0,832290096
set/07;107,7377766;181346028;295003231;75842;18006621;71338;14837294;94880;21666151;1737557;151752454;122,953;100,44;123,098;124,583;173,48;135,84;145,27;144,75;0,89240803;2,569033398;1,22376824;1,839322771;2,955795173;2,344070698;1,16416772
dez/07;118,7363838;186226288;321131550;98121;23288843;98644;20703193;129088;29659504;1679764;143869625;120,154;102,414;114,882;124,393;121,05;135,12;149,24;145,43;1,426180436;3,537996512;2,28574913;2,904827571;3,304450762;3,406019792;1,708383513
mar/08;115,8948055;193485003;323535912;97673;23457384;95047;19867100;117792;27185965;1630550;141810790;116,727;107,203;105,778;122,989;186,2;126,58;145,34;143,14;1,517602701;2,37780775;1,436529568;2,185153368;2,083378334;2,449311776;1,689295891
